LBP,,,,,,,,,,,,,,,,,,,,
LBP_product_id,LBP_code,LBP_family,LBP_description,LOB,Folder Tier 1,,,,,,,,,,,,,,,
5069185,GlintPSThoughtPartnership,GlintPS,"Glint will partner with you to help bring people success behaviors to your organization. Our goal in working together is to equip and empower you to drive transformation and successfully manage your own people success programs moving forward. In this package a People Science Consultant (PSC) will work with you as a thought partner in helping to develop a vision for your people success program(s). Based on your strategic priorities and Glint's research, we will advise you on the design of your People Success program(s). Once your survey closes, together we will explore the insights in your platform, show you how you can use the platform to find your own insights moving forward, and enable you to take action on your results. Your package will include a People Science Consultant to lead three meetings: (1) Strategy & Design meeting [60-minute meeting], (1) Live Platform Exploration meeting [60-minute meeting], and (1) Transformation Continuation meeting [60-minute meeting].",LTS,Glint,,,,,,,,,,,,,,,
5069195,GlintPSCustom,GlintPSCustom,This option is intended to provide additional support for specific services (see table of services) beyond what is provided in a clients’ People Science Package. It is a prerequisite to have current People Science Package.,LTS,Glint,,,,,,,,,,,,,,,
5069201,GlintEngage,GlintSoftware,"Scheduled recurring, ad-hoc & always-on Surveys to measure employee engagement, team effectiveness, or manager effectiveness. Includes Standard Support, up to 5 Named System Administrators, & OnDemandSurveys.",LTS,Glint,,,,,,,,,,,,,,,
5069211,GlintEngage1Survey,GlintSoftware,"One Glint administered, scheduled, ad-hoc or always-on Survey to measure employee engagement, team effectiveness, or manager effectiveness.Includes Standard Support. Platinum Coach or Admin Customer Success Service must be purchased.",LTS,Glint,,,,,,,,,,,,,,,
5069221,GlintFeedbackandConvos,GlintSoftware,"Glint Feedback and Conversations enables employees to request, provide, and take action on development feedback using Anytime Feedback & Recognition and Development Goals modules. Customers with this SKU will also have access to any future features",LTS,Glint,,,,,,,,,,,,,,,
5069231,GlintLifecycle,GlintSoftware,"Automatically triggered Surveys that are triggered by a set period of time after an event like onboarding, promotion, role change, and/or end of employment/exit. Includes Standard Support, up to 5 Named System Admins, and OnDemandSurveys.",LTS,Glint,,,,,,,,,,,,,,,
5069241,Glint360s,GlintSoftware,"The Glint 360s Module is a multi-rater employee feedback tool intended to enable employees to obtain a holistic review of their strengths and growth opportunities based on input from peers, collaborators, direct reports and managers (such reviews, ?360 Reviews?). This Module is intended to enable human resources professionals to quickly initiate 360 Reviews for Customer employees and to provide the employees with actionable feedback following the completion of the 360 Reviews.",LTS,Glint,,,,,,,,,,,,,,,
5069251,GlintEngageandLifecycle,GlintSoftware,"This bundle includes scheduled recurring, ad-hoc & always-on Surveys to measure employee engagement, team effectiveness, manager effectiveness, and/or diversity & inclusion, plus automatically triggered Surveys that are triggered by a set period of time after an event like onboarding, promotion, role change, and/or end of employment/exit. Includes Standard Support, up to 5 Named System Admins, and OnDemandSurveys.",LTS,Glint,,,,,,,,,,,,,,,
5069261,GlintPeopleSuccess,GlintSoftware,"People Success is a product bundle with access to all Glint product features to measure and deliver insight into the employee experience, launch development feedback programs, and provide suggested actions and learning. This bundle includes Glint’s Engage, Lifecycle, 360s, Anytime Feedback & Recognition, and Development Goals modules, as well as any future features. Includes Standard Support, up to 5 Named System Admins, and OnDemandSurveys.",LTS,Glint,,,,,,,,,,,,,,,
1001,inMail1,INM,Original productID : inMail1,,InMail,,,,,,,,,,,,,,,#N/A
1002,inMail3,INM,Original productID : inMail3,,InMail,,,,,,,,,,,,,,,
1003,inMail5,INM,Original productID : inMail5,,InMail,,,,,,,,,,,,,,,
1004,inMail10,INM,Original productID : inMail10,,InMail,,,,,,,,,,,,,,,
1005,inMail5OneMonth,INM,5 inmails for one month,,InMail,,,,,,,,,,,,,,,
1006,inMailUse,INMUSE,Product to send an inmail,,InMail,,,,,,,,,,,,,,,
20020,capInMail10,CAPINMAIL,CAP InMail,,InMail,,,,,,,,,,,,,,,
5192852,RecruiterInMail10,INM,Recruiter InMail 10 pack,,InMail,,,,,,,,,,,,,,,
117013,jobPack1T1_1000,VC,Job Pack 1 Geo Tier 1 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
130030,jobsPostpayPkg,JOBSPKG,Jobs Post-pay Package used to create and activate a job premium service,LTS,Jobs,,,,,,,,,,,,,,,
130031,jobsRChargeServiceWrapper,JOBSRCHARGEPKG,Jobs recurring charges premium service wrapper (wraps around job recurring charge lines),LTS,Jobs,,,,,,,,,,,,,,,
130032,jobsRCharge,JOBSRCHARGE,Jobs recurring charges,LTS,Jobs,,,,,,,,,,,,,,,
130033,jobsPostpayActivation,JOBSPKG,Jobs post-pay package used to create and activate a job premium service without simultaneously posting a job,LTS,Jobs,,,,,,,,,,,,,,,
1100,jobTalentMatchBundle,JTMB,Original productID2 : jobTalentMatchBundle,LTS,Jobs,,,,,,,,,,,,,,,
1101,jobTalentMatch,JTM,Original productID2 : jobTalentMatch,LTS,Jobs,,,,,,,,,,,,,,,
1102,jobListing,J,Original productID2 : jobListing,LTS,Jobs,,,,,,,,,,,,,,,
1103,jobPack1T1,VC,Job Credit (Tier 1),LTS,Jobs,,,,,,,,,,,,,,,
1104,jobPack5T1,VC,Job Pack 5 (Tier 1),LTS,Jobs,,,,,,,,,,,,,,,
1105,jobPack10T1,VC,Job Pack 10 (Tier 1),LTS,Jobs,,,,,,,,,,,,,,,
1106,jobPack1T2,VC,Job Credit (Tier 2),LTS,Jobs,,,,,,,,,,,,,,,
1107,jobPack5T2,VC,Job Pack 5 (Tier 2),LTS,Jobs,,,,,,,,,,,,,,,
1108,jobPack10T2,VC,Job Pack 10 (Tier 2),LTS,Jobs,,,,,,,,,,,,,,,
1109,jobPack1T3,VC,Job Credit (Tier 3),LTS,Jobs,,,,,,,,,,,,,,,
1110,jobPack5T3,VC,Job Pack 5 (Tier 3),LTS,Jobs,,,,,,,,,,,,,,,
1111,jobPack10T3,VC,Job Pack 10 (Tier 3),LTS,Jobs,,,,,,,,,,,,,,,
1112,jobPack1T4,VC,Job Credit (Tier 4),LTS,Jobs,,,,,,,,,,,,,,,
1113,jobPack5T4,VC,Job Pack 5 (Tier 4),LTS,Jobs,,,,,,,,,,,,,,,
1114,jobPack10T4,VC,Job Pack 10 (Tier 4),LTS,Jobs,,,,,,,,,,,,,,,
1115,jobbogoT1,JBOGO,Job Bogo for Tier 1,LTS,Jobs,,,,,,,,,,,,,,,
1116,jobbogoT2,JBOGO,Job Bogo for Tier 2,LTS,Jobs,,,,,,,,,,,,,,,
1117,jobbogoT3,JBOGO,Job Bogo for Tier 3,LTS,Jobs,,,,,,,,,,,,,,,
1118,jobbogoT4,JBOGO,Job Bogo for Tier 4,LTS,Jobs,,,,,,,,,,,,,,,
1119,jobPack1T0,VC,Job Credit (Tier 0),LTS,Jobs,,,,,,,,,,,,,,,
1120,jobPack5T0,VC,Job Pack 5 (Tier 0),LTS,Jobs,,,,,,,,,,,,,,,
1121,jobPack10T0,VC,Job Pack 10 (Tier 0),LTS,Jobs,,,,,,,,,,,,,,,
1122,jobbogoT0,JBOGO,Job Bogo for Tier 0,LTS,Jobs,,,,,,,,,,,,,,,
1123,jobListing60d,J,60-day job listing,LTS,Jobs,,,,,,,,,,,,,,,
1124,jobTalentMatchBundle,JTMB,Free Job Talent Match Bundle,LTS,Jobs,,,,,,,,,,,,,,,
1309,jobAdsPostpayPkg,ADSPKG,Job Ads Post-pay Package,LTS,Jobs,,,,,,,,,,,,,,,
1310,jobAdsPostpayActivation,JOBADS,Job Ads Campaign,LTS,Jobs,,,,,,,,,,,,,,,
80005,jobbogoT10000,JBOGO,Job Bogo for Tier 10000,LTS,Jobs,,,,,,,,,,,,,,,
80006,jobPack1T10000,VC,Job Credit (Tier 10000),LTS,Jobs,,,,,,,,,,,,,,,
80007,jobPack5T10000,VC,Job Pack 5 (Tier 10000),LTS,Jobs,,,,,,,,,,,,,,,
80008,jobPack10T10000,VC,Job Pack 10 (Tier 10000),LTS,Jobs,,,,,,,,,,,,,,,
90003,jobbogoT10001,JBOGO,Job Bogo for Tier 10001,LTS,Jobs,,,,,,,,,,,,,,,
90004,jobPack1T10001,VC,Job Credit (Tier 10001),LTS,Jobs,,,,,,,,,,,,,,,
90005,jobPack5T10001,VC,Job Pack 5 (Tier 10001),LTS,Jobs,,,,,,,,,,,,,,,
90006,jobPack10T10001,VC,Job Pack 10 (Tier 10001),LTS,Jobs,,,,,,,,,,,,,,,
117014,jobPack1T1_2000,VC,Job Pack 1 Geo Tier 1 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117015,jobPack1T1_3000,VC,Job Pack 1 Geo Tier 1 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117016,jobPack5T1_1000,VC,Job Pack 5 Geo Tier 1 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117017,jobPack5T1_2000,VC,Job Pack 5 Geo Tier 1 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117018,jobPack5T1_3000,VC,Job Pack 5 Geo Tier 1 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117019,jobPack10T1_1000,VC,Job Pack 10 Geo Tier 1 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117020,jobPack10T1_2000,VC,Job Pack 10 Geo Tier 1 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117021,jobPack10T1_3000,VC,Job Pack 10 Geo Tier 1 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117022,jobPack1T0_1000,VC,Job Pack 1 Geo Tier 0 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117023,jobPack1T0_2000,VC,Job Pack 1 Geo Tier 0 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117024,jobPack1T0_3000,VC,Job Pack 1 Geo Tier 0 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117025,jobPack5T0_1000,VC,Job Pack 5 Geo Tier 0 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117026,jobPack5T0_2000,VC,Job Pack 5 Geo Tier 0 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117027,jobPack5T0_3000,VC,Job Pack 5 Geo Tier 0 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117028,jobPack10T0_1000,VC,Job Pack 10 Geo Tier 0 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117029,jobPack10T0_2000,VC,Job Pack 10 Geo Tier 0 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117030,jobPack10T0_3000,VC,Job Pack 10 Geo Tier 0 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117031,jobPack1T10000_1000,VC,Job Pack 1 Geo Tier 10000 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117032,jobPack1T10000_2000,VC,Job Pack 1 Geo Tier 10000 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117033,jobPack1T10000_3000,VC,Job Pack 1 Geo Tier 10000 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117034,jobPack5T10000_1000,VC,Job Pack 5 Geo Tier 10000 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117035,jobPack5T10000_2000,VC,Job Pack 5 Geo Tier 10000 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117036,jobPack5T10000_3000,VC,Job Pack 5 Geo Tier 10000 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117037,jobPack10T10000_1000,VC,Job Pack 10 Geo Tier 10000 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117038,jobPack10T10000_2000,VC,Job Pack 10 Geo Tier 10000 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117039,jobPack10T10000_3000,VC,Job Pack 10 Geo Tier 10000 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117040,jobPack1T10001_1000,VC,Job Pack 1 Geo Tier 10001 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117041,jobPack1T10001_2000,VC,Job Pack 1 Geo Tier 10001 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117042,jobPack1T10001_3000,VC,Job Pack 1 Geo Tier 10001 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117043,jobPack5T10001_1000,VC,Job Pack 5 Geo Tier 10001 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117044,jobPack5T10001_2000,VC,Job Pack 5 Geo Tier 10001 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117045,jobPack5T10001_3000,VC,Job Pack 5 Geo Tier 10001 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
117046,jobPack10T10001_1000,VC,Job Pack 10 Geo Tier 10001 Title Tier 1000,LTS,Jobs,,,,,,,,,,,,,,,
117047,jobPack10T10001_2000,VC,Job Pack 10 Geo Tier 10001 Title Tier 2000,LTS,Jobs,,,,,,,,,,,,,,,
117048,jobPack10T10001_3000,VC,Job Pack 10 Geo Tier 10001 Title Tier 3000,LTS,Jobs,,,,,,,,,,,,,,,
5194064,jobsPrePaidCreditStandalone,ACCTBALJOBSPPC,LinkedIn Jobs prepaid credits that can be used on a future job promotion,,Jobs,,,,,,,,,,,,,,,
30001,LILEnterpriseEN,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance. Users will have access to all courses in English.",LTS,Learning,,,,,,,,,,,,,,,
30002,LILEnterpriseES,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance",LTS,Learning,,,,,,,,,,,,,,,
30003,LILEnterpriseFR,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance",LTS,Learning,,,,,,,,,,,,,,,
30004,LILEnterpriseDE,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance",LTS,Learning,,,,,,,,,,,,,,,
30005,LILEnterpriseJP,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance",LTS,Learning,,,,,,,,,,,,,,,
5033272,LILEnterpriseALL,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance.",LTS,Learning,,,,,,,,,,,,,,,
5050445,LILAcademic,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance.",LTS,Learning,,,,,,,,,,,,,,,
5056604,LILLibrary,LILENTERPRISE,"LinkedIn Learning for Library provides access to high-quality learning content (includes all languages available). Includes one master admin complimentary user. QTY reflects total
 population served.",LTS,Learning,,,,,,,,,,,,,,,
5068275,LILGovernment,LILENTERPRISE,"LinkedIn Learning provides organizations with access to high-quality learning content, an intuitive and personalized learning experience and administrative capabilities to manage learners, recommend content and measure performance.",LTS,Learning,,,,,,,,,,,,,,,
5050435,LILPartialCampusCommunity,LILENTERPRISE,"LinkedIn Learning for community colleges and vocational schools purchasing site license for specific defined audiences: faculty & staff, students, or departments",LTS,Learning,,,,,,,,,,,,,,,
5052476,LILProEN,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5052486,LILProES,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5052496,LILProDE,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5052506,LILProFR,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5052516,LILProJP,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5052526,LILProALL,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5050405,LILFullCampus,LILENTERPRISE,"LinkedIn Learning for Higher Education institutions purchasing site license for the entire campus, including faculty, staff, and students.",LTS,Learning,,,,,,,,,,,,,,,
5050415,LILPartialCampus,LILENTERPRISE,"LinkedIn Learning for Higher Education institutions purchasing site license for the entire campus, including faculty, staff, and students.",LTS,Learning,,,,,,,,,,,,,,,
5050425,LILFullCampusCommunity,LILENTERPRISE,"LinkedIn Learning for community colleges and vocational schools purchasing site license for the entire campus, including faculty, staff, and students",LTS,Learning,,,,,,,,,,,,,,,
5068287,LILProGovernment,LILENTERPRISE,"LinkedIn Learning Pro provides access to our own high-quality learning content alongside learning content hand-selected by you, all delivered through an intuitive, easy-to-use experience.",LTS,Learning,,,,,,,,,,,,,,,
5071249,LiLEnterpriseOnlineAll,LILENTERPRISE,"LinkedIn Learning for teams provides teams with access to high-quality learning content, an intuitive and personalized learning experience, and administrative capabilities to manage learners, recommend content, and measure learning engagement.",LTS,Learning,,,,,,,,,,,,,,,
5055478,LILContentTier0,LILCONTENT,Learning Content Tier 0,LTS,Learning,,,,,,,,,,,,,,,
5055488,LILContentTier1,LILCONTENT,Learning Content Tier 1,LTS,Learning,,,,,,,,,,,,,,,
5055498,LILContentTier2,LILCONTENT,Learning Content Tier 2,LTS,Learning,,,,,,,,,,,,,,,
5055508,LILContentTier3,LILCONTENT,Learning Content Tier 3,LTS,Learning,,,,,,,,,,,,,,,
5055518,LILContentTier4,LILCONTENT,Learning Content Tier 4,LTS,Learning,,,,,,,,,,,,,,,
5055528,LILContentTier5,LILCONTENT,Learning Content Tier 5,LTS,Learning,,,,,,,,,,,,,,,
5055538,LILContentTier6,LILCONTENT,Learning Content Tier 6,LTS,Learning,,,,,,,,,,,,,,,
5059833,LILContentGermanTier0,LILCONTENT,German Learning Content Tier 0,LTS,Learning,,,,,,,,,,,,,,,
5059843,LILContentGermanTier1,LILCONTENT,German Learning Content Tier 1,LTS,Learning,,,,,,,,,,,,,,,
5059853,LILContentGermanTier2,LILCONTENT,German Learning Content Tier 2,LTS,Learning,,,,,,,,,,,,,,,
5059863,LILContentGermanTier3,LILCONTENT,German Learning Content Tier 3,LTS,Learning,,,,,,,,,,,,,,,
5059873,LILContentGermanTier4,LILCONTENT,German Learning Content Tier 4,LTS,Learning,,,,,,,,,,,,,,,
5059883,LILContentGermanTier5,LILCONTENT,German Learning Content Tier 5,LTS,Learning,,,,,,,,,,,,,,,
5059893,LILContentGermanTier6,LILCONTENT,German Learning Content Tier 6,LTS,Learning,,,,,,,,,,,,,,,
5059905,LILContentFrenchTier0,LILCONTENT,French Learning Content Tier 0,LTS,Learning,,,,,,,,,,,,,,,
5059915,LILContentFrenchTier1,LILCONTENT,French Learning Content Tier 1,LTS,Learning,,,,,,,,,,,,,,,
5059925,LILContentFrenchTier2,LILCONTENT,French Learning Content Tier 2,LTS,Learning,,,,,,,,,,,,,,,
5059935,LILContentFrenchTier3,LILCONTENT,French Learning Content Tier 3,LTS,Learning,,,,,,,,,,,,,,,
5059945,LILContentFrenchTier4,LILCONTENT,French Learning Content Tier 4,LTS,Learning,,,,,,,,,,,,,,,
5059955,LILContentFrenchTier5,LILCONTENT,French Learning Content Tier 5,LTS,Learning,,,,,,,,,,,,,,,
5059965,LILContentFrenchTier6,LILCONTENT,French Learning Content Tier 6,LTS,Learning,,,,,,,,,,,,,,,
5059978,LILContentSpanishTier0,LILCONTENT,Spanish Learning Content Tier 0,LTS,Learning,,,,,,,,,,,,,,,
5059988,LILContentSpanishTier1,LILCONTENT,Spanish Learning Content Tier 1,LTS,Learning,,,,,,,,,,,,,,,
5059998,LILContentSpanishTier2,LILCONTENT,Spanish Learning Content Tier 2,LTS,Learning,,,,,,,,,,,,,,,
5060008,LILContentSpanishTier3,LILCONTENT,Spanish Learning Content Tier 3,LTS,Learning,,,,,,,,,,,,,,,
